,state,city,postal_code,latitude,longitude,stars,review_count,is_open,categories
0,01,Moss,1530,59.4356164,10.6647064,5.0,4,1,Steakhouses;Restaurants
1,3,Stetten,2100,48.3669,16.3827,5.0,4,1,Austrian;Restaurants;Beer Garden
2,30,Alex,30100,44.1264107,4.0808255,3.0,3,1,Restaurants;French
3,6,Haus,8967,47.3792,13.7685,5.0,3,1,Hotels & Travel;Hotels;Event Planning & Services
4,AB,Toronto,M5T 3K7,43.6551994,-79.39996140000002,5.0,3,1,Event Planning & Services;Private Tutors;Musical Instruments & Teachers;Education;Shopping;Musicians;Specialty Schools
5,ABE,Dudley,DY3 1UX,52.52778539999999,-2.1160213,4.5,6,1,Bars;Nightlife;Pubs
6,AK,Chandler,85286,33.2768201798,-111.79097007799999,2.5,22,1,Restaurants;Fast Food;Burgers
7,AL,North Las Vegas,89031,36.2624582694,-115.18200416100001,5.0,10,1,Hair Removal;Event Planning & Services;Eyebrow Services;Threading Services;Henna Artists;Beauty & Spas
8,AR,Mesa,85208,33.396629,-111.615618,5.0,11,1,Health & Medical;Dentists;Orthodontists
9,AZ,Phoenix,85034,33.421808,-111.989174,5.0,1463,1,Restaurants;Barbeque
10,B,Tigre,,-34.41803400000001,-58.572552,2.5,6,1,Restaurants;Argentine
11,BW,Stuttgart,70435,48.8345211415,9.152136513,5.0,37,1,Restaurants;International
12,BY,Leonberg,71229,48.7922305,9.0102769,5.0,5,0,Travel Services;Hotels & Travel;Transportation
13,C,Olivos,,-34.5137148952,-58.4888194035,4.5,23,1,Food;Ice Cream & Frozen Yogurt
14,CA,Las Vegas,89128,36.1988542,-115.2659777,5.0,3,0,Massage;Health & Medical;Life Coach;Yoga;Active Life;Beauty & Spas;Physical Therapy;Fitness & Instruction;Professional Services
15,CHE,Chester,CH1 2LY,53.1897926,-2.8944182,5.0,9,1,Active Life;Arts & Entertainment;Horse Racing;Stadiums & Arenas
16,CMA,Brampton,CA8 7DD,54.990102,-2.572867,3.5,6,1,Landmarks & Historical Buildings;Public Services & Government
17,CO,Main Street,,51.91615085270001,-8.1740587155,4.5,3,1,Irish;Restaurants
18,CS,Onda,12200,39.96749570000001,-0.2638502,4.5,3,1,Hotels & Travel;Hostels
19,DE,Lingen,49808,52.52186999999999,7.31761,4.0,5,1,Computers;Shopping;Mobile Phones
20,EDH,Edinburgh,EH8 8EQ,55.9439750067,-3.1620082537,5.0,171,1,Hiking;Parks;Active Life;Public Services & Government;Landmarks & Historical Buildings
21,ELN,Edinburgh,EH39 5NL,56.0435147,-2.7854954,5.0,5,1,Active Life;Parks
22,ESX,Newhaven,BN9 9DN,50.7820308959,0.0553292258,5.0,5,1,Nightlife;Bars;Pubs
23,FAL,Blackness,EH49 7NH,56.004025,-3.519889,4.0,11,1,Arts & Entertainment;Local Flavor;Education;Museums
24,FIF,Dunfermline,KY12 7NB,56.07089820000001,-3.4635224,5.0,5,1,Coffee & Tea;Food
25,FL,Las Vegas,89119,27.950575,-82.4571776,1.5,557,1,Car Rental;Hotels & Travel
26,FLN,Queensferry,CH5 1TJ,53.2021,-3.0331,4.5,5,1,Food;Grocery
27,GA,Las Vegas,89146,36.127104,-115.214049,5.0,3,1,Home Services;Plumbing
28,GLG,Edinburgh,EH8 8FS,55.9515527,-3.1834249,5.0,4,1,Juice Bars & Smoothies;Food Delivery Services;Food;Caterers;Event Planning & Services
29,HLD,Inverness,IV5 7ND,57.4754805,-4.4163986,5.0,6,1,Hotels;Hotels & Travel;Event Planning & Services
30,HU,Plan,22367,42.5803158535,0.3363052914,4.5,3,1,French;Spanish;Cafeteria;Restaurants
31,IL,Urbana,61802,40.117278000000006,-88.203156,5.0,77,1,Imported Food;Ethnic Food;Mexican;Restaurants;Specialty Food;Ice Cream & Frozen Yogurt;Food
32,IN,Argos,46501,41.2443711,-86.2623544,4.0,12,0,Restaurants
33,KHL,Edinburgh,EH2 1HJ,55.95561239999999,-3.1924425,3.5,7,1,Sandwiches;Coffee & Tea;Restaurants;Soup;Food
34,KY,Spa,,52.27539,-9.7885,4.5,3,1,Na
35,MLN,Edinburgh,EH1 2QB,55.9476776123,-3.192538023,5.0,8,1,Jewelry;Shopping
36,MN,Las Vegas,87701,35.6287183,-105.227032,3.5,3,1,Home Services;Towing;Keys & Locksmiths;Roadside Assistance;Automotive
37,MT,St. Peters,63376,38.79334710000001,-90.5845608,3.0,12,0,Home Decor;Arts & Crafts;Shopping;Arts & Entertainment;Framing;Art Galleries;Home & Garden
38,NC,Charlotte,28202,35.226911,-80.843823,5.0,122,1,Food;Street Vendors;Restaurants;Hot Dogs
39,NE,Las Vegas,89104,36.152569,-115.136644,4.0,4,1,Lawyers;Divorce & Family Law;Professional Services
40,NI,Hemmingen,30966,52.3218,9.74679,4.5,10,1,Event Planning & Services;Food;Mediterranean;Hotels & Travel;Specialty Food;Hotels;German;Restaurants
41,NLK,Livingston,ML2 7BL,55.7741379904,-3.9180000705,3.5,3,1,Nightlife;Bars;Pubs
42,NTH,Pilton,BA4,51.1738031,-2.4965893,5.0,4,1,Nightlife;Festivals;Music Venues;Arts & Entertainment
43,NV,Las Vegas,89139,36.0541948,-115.2424431,5.0,1165,1,Cafes;Tea Rooms;Food;Bubble Tea;Restaurants;Desserts
44,NY,Mooers,12958,44.95973060000001,-73.5924597,5.0,5,1,Sandwiches;American (Traditional);Breakfast & Brunch;Restaurants;Diners
45,NYK,Scarborough,YO12 7SN,54.284717559799994,-0.4044390023,5.0,7,1,Beauty & Spas;Piercing;Tattoo
46,OH,Cleveland,44106,41.5082394966,-81.6115303874,5.0,249,1,Education;Museums;Performing Arts;Arts & Entertainment;Art Classes;Art Schools;Specialty Schools
47,ON,Toronto,M5T 2E9,43.6545374,-79.3983798,5.0,240,1,Shopping;Photography Stores & Services
48,PA,Pittsburgh,15201,40.4650852,-79.9609206,5.0,187,1,Food;Beer;Wine & Spirits
49,PKN,Edinburgh,KY13 0QJ,56.1780446,-3.5191971,3.5,24,1,Restaurants;Italian
50,QC,Outremont,H2V 1K4,45.5225641,-73.6132118,5.0,128,1,Middle Eastern;Syrian;Restaurants
51,RCC,Whitby,YO22 4AS,54.487033150200006,-0.6115796559000001,5.0,8,1,Coffee & Tea;Event Planning & Services;Food;Restaurants;British;Caterers;Steakhouses;Cafes
52,SC,Fort Mill,29715,35.028202,-80.904797,5.0,30,1,Keys & Locksmiths;Shopping;Contractors;Automotive;Home & Garden;Printing Services;Home Decor;Local Services;Auto Repair;Home Services
53,SCB,Bonnyrigg,EH19 3JH,55.8581879,-3.0706734,4.5,6,1,Pets;Animal Shelters
54,SL,B̦blingen,66606,48.7012811,9.0072426,5.0,3,1,Automotive;Body Shops
55,ST,Freyburg,06632,51.217606,11.767746,5.0,8,1,Wineries;Beer;Wine & Spirits;Grocery;Arts & Entertainment;Food
56,STG,Inverness,G83 7DZ,57.4965694,-4.1222999,4.5,3,1,Active Life
57,TAM,Las Vegas,89130,36.2711136165,-115.20740259,4.0,12,1,Hair Salons;Beauty & Spas
58,VA,Henderson,27536,36.597704441,-78.1475605017,4.0,3,1,Restaurants;Sandwiches;Fast Food
59,VS,Casablanca,,-33.401111,-71.115401,5.0,3,1,Food;Wineries;Beer;Wine & Spirits;Arts & Entertainment
60,VT,Alburg,05440,44.95381500000001,-73.2705,5.0,5,1,Bed & Breakfast;Hotels & Travel;Hotels;Event Planning & Services
61,WA,Houston,77056,29.7358298,-95.4676332,4.0,4,0,Day Spas;Medical Spas;Health & Medical;Massage Therapy;Beauty & Spas;Massage
62,WHT,Saint-sauveur,7912,50.70827,3.59812,3.0,4,1,Pizza;Italian;Restaurants
63,WI,Madison,53703,43.0707302,-89.3831443,5.0,131,1,Professional Services;Security Services;Home Services;Keys & Locksmiths
64,WLN,Kirknewton,EH27 8BB,55.9095441,-3.4116352999999995,5.0,8,1,Community Service/Non-Profit;Local Services
65,XGL,Edinburgh,EH12 9DN,55.9483321333,-3.3641293,4.5,6,1,Food;British;Coffee & Tea;Restaurants
66,ZET,Edinburgh,EH1 3AA,55.9563921071,-3.1862251311,3.5,4,1,Restaurants;Chicken Wings;Portuguese
